tipid,foursqr_id,latitude,longitude,shortname,createdat,tiptext,id
54aaa07b498e7b8d3a11a65c,88926205,50.0037515729658,36.2350870253939,Academic Building,1420468347,Любимое СД,88926205
5666a5bf498eb47b09c52e03,41153902,41.0346254058923,28.9808503981531,Breakfast,1449567679,Menemen=Lades👍🏼,41153902
568291ff498ecbfa2b230fa4,41153902,41.0351389969269,28.982186315469,Bar,1451397631,"Rahatlıktan öleceğiniz bir mekan, kasıntı olmaması hoş",41153902
568291c8498eb71a54cc021f,41153902,41.0258302606,28.9811744302241,Eastern European,1451397576,"Bir boşnak böreği yedim, efsane 😇",41153902
514d0d27e4b09aa6324d6c51,13173514,19.4339334146906,-99.138072944056,Tacos,1364004135,Muy buenos los paquetes con consome y agua,13173514
512fe097e4b0eacbb3f47ec7,13173514,19.4133839064737,-99.1733774216903,Other Outdoors,1362092183,Caluroso pero bueno el ver gente de todo un poco,13173514
52586c8711d26b254928471c,13173514,19.3031779849897,-99.2619284255927,Home,1381526663,Acá ya casi nos cae la nevada,13173514
519d387c498ef887e85c7979,13173514,19.4481598962776,-99.1520825975013,Mobile Phones,1369258108,Aňos y felices días para que te cobren no se atelcelen,13173514
5008ce8ce4b0639ac27bff16,13173514,19.4493083953857,-99.146484375,Burritos,1342754444,Prueben los tacos y los burros mega,13173514
5120678ee4b08f84b590c1eb,13173514,19.4479968294569,-99.1520339486301,Mall,1361078158,Muy buena plaza ya casi completa lo malo ya está bien llena,13173514
523f7a7211d28dc34dc6dc9e,13173514,19.4479868055482,-99.152893416372,Restaurant,1379891826,Buena atención pero su WiFi no sirve y los datos no entran bien -_-,13173514
51db5750498e2d5eaea346b8,13173514,19.435448575527,-99.1438865661621,Plaza,1373329232,Muy buen servicio y vista vale la pena siempre y cuando no te toque fila,13173514
55061d10498ed71e4fffcfb9,13173514,19.3948676483088,-99.1749238006993,Entertainment,1426464016,Bastante bien falto más mercancía de Star Wars,13173514
534f48a111d21c8aa791a60b,13173514,19.3585224004462,-99.1562032699585,Soccer Field,1397704865,Dejar todo en la cancha y divertirse,13173514
527ef23d11d2ac6c25f56a31,13173514,19.3558096126191,-99.1408824920654,Performing Arts,1384051261,Está lejos el escenario pero muy chido el lugar,13173514
5164367de4b0527b0204ef80,13173514,19.4465155460173,-99.1456612019892,Coffee Shop,1365522045,El sazón esta muy bueno vale la pena cada peso,13173514
4fe0b9bae4b0dca7c9c74f0f,13173514,19.431422285062,-99.1371866132872,Burgers,1340127674,Probando las tortas se ven buenas,13173514
5149f89be4b011fbdfb30ede,13173514,19.43373365,-99.13826466,Other Outdoors,1363802267,A estas horas esta muy disfrytable caminar pero como friegan con su servicio de ópticas,13173514
5075f0e7e4b0a89f77f9642f,13173514,19.4333339898323,-99.1359111789279,Pizza,1349906663,Recomiendo la pizza mexicana con chela obscura una delicia!,13173514
4fad4522e4b07c3cb791d94e,13173514,19.4332022250832,-99.1395862144057,Mexican,1336755490,La torta al pastor recomendadisima,13173514
530be29a11d2bfb85baab767,13173514,19.3888061721992,-99.1747453708318,Food Truck,1393287834,"El chicharron prensado,  la milanesa y la salsa no tienen abuela",13173514
50e0ed22e4b028f661d5e99c,13173514,19.4409776811882,-99.2060708999634,Grocery Store,1356918050,Mucha gente por la fecha,13173514
52ed51e811d21616a2a1e875,13173514,19.4341383572953,-99.1416013240814,Department Store,1391284712,La vista en el octavo piso,13173514
52cc708e498e7806a89b67be,13173514,19.3656606022649,-99.1815205771501,Bank,1389129870,Es del asco ek servicio no se ponen de acuerdo si te formas o no,13173514
4fc2cf6de4b0524b5cdc865a,4343054,27.7321748927648,-82.7445203199437,Seafood,1338167149,Dara - Fantastic server!!!! Have her pick your meal. Everything is amazing.,4343054
4f5ba2ece4b0c5418ae46f37,4343054,28.810984,-81.877388,Wine Shop,1331405548,The best hang out down town. Laid back amazing wine and fantastic people.,4343054
4f612c93e4b07ccaa5427c42,4343054,27.8926808,-82.4937359919315,American,1331768467,"Ladies night on Wed is always a great time. Great specials, 5 dollar flat bread,and apps. A must.",4343054
4d3207346c7c721e7a01ac56,4343054,27.94492,-82.516176,Salon / Barbershop,1295124276,"Jeanna is absolutely amazing!! Have been going to her for years. Short, long, thick hair any kind she is a pro!",4343054
520cf2b511d20fbc05b50384,4343054,27.958344,-82.434734,Auto Dealer,1376580277,Bill has been taking care of me for years.  Best in the business. Service and price are always the best!,4343054
4ccf719c48b83704442cecde,4343054,27.9038347293666,-82.5067663192749,Residential,1288663452,Friggin awesome place to live!,4343054
50dd3ca0e4b03ac488b0cc4c,4343054,40.675036,-73.981328,Dive Bar,1356676256,"Great beer, snacks, and bartenders. They even have a board game area and patio. Love it.",4343054
50c28116e4b0bd0f6320f430,4343054,27.8944287315659,-82.504620552063,Big Box Store,1354924310,Right now you get a 10 dollar gift card when you spend $50. Woohoo!,4343054
53ee46d2498ee794c338cbaf,4343054,27.8423648297007,-82.2155525493443,Seafood,1408124626,Awesome menue. The food was fantastic and the service was perfect.,4343054
51c8633a498e3f12560b9b6f,4343054,27.9160043074257,-82.5076086207803,Dentist's Office,1372087098,Seriously the best dentist office ever. They made my wisdom teeth extraction so quick and comfortable. Highly recommended. Go see them foe anything. Cleanings. Zoom. Extractions.,4343054
511b8cd7e4b01dae7b59dd29,4343054,27.9160043074257,-82.5076086207803,Dentist's Office,1360760023,Best place to get your cleanings AND zoom. Great staff and awesome Dentist!,4343054
50ce1b1ce4b05e62d25e4afe,4343054,27.9420745251824,-82.4828824779079,Bar,1355684636,See Chuck. He's the man!!! Best place to spend your Sundays for football.,4343054
5168cebee4b0da0d07c4e20c,4343054,27.939016,-82.483055,Pizza,1365823166,I've ordered from here twice within a week since I just moved in the area. My fav now in the area!,4343054
4eb579726c2590eb8811b454,4343054,27.8902244188128,-82.4915193953546,Home,1320515954,Never ever a dull moment,4343054
54605f43498e420ffc9f86a0,87560624,6.12788190414831,102.234370708466,Soup,1415601987,nasi sup the best,87560624
5465d059498e78faa9eb7683,87560624,6.09895077245886,102.262330055237,Badminton Court,1415958617,👍👍👍👍👍👍👍👍,87560624
54677360498e69e6dd4a3268,87560624,6.13292183955699,102.25416881519,Malay,1416065888,Dinner with fmily💞,87560624
5462d2e7498e56f9a76cc243,87560624,6.12950336665891,102.249305248261,Coffee Shop,1415762663,Breakfast with umipapa💞,87560624
54605a49498e420ffc9f5a3b,87560624,6.11503804030205,102.231817245483,Department Store,1415600713,no one......,87560624
545f1af0498e9f95a7d4a046,87560624,6.11342088421068,102.255141170315,Asian,1415518960,lunch with umi 🍴🍷,87560624
545eaa26498e12649f9300fb,87560624,6.10798519011673,102.249938610816,High School,1415490086,bio paper 1 and physic paper 2 😌,87560624
5466b5f6498e5484428c6b1b,87560624,6.10256229276688,102.255403819426,Breakfast,1416017398,Breakfast.,87560624
5464ff58498e7922a80a86b6,87560624,6.09791909012545,102.270789436058,Malay,1415905112,chillin with papa 👍,87560624
53f40095498e399c169610dc,87560624,6.10697120050128,102.25831535442,Malay,1408499861,tomyam besttt nak mampos,87560624
53598bf2498e93ea6a6beaea,14944728,42.5536347442053,-71.7792505958909,Sushi,1398377458,"Very fresh maki rolls, good service, great value.",14944728
4f3b050de4b022039b9b0ea1,14944728,42.4817973749347,-70.9014021655509,Japanese,1329267981,"Very fresh, excellent sushi, sashimi, and maki. Reasonable prices too.",14944728
537dfec211d279f07bfb1b3c,14944728,42.5862239549612,-71.8793531952248,Golf Course,1400766146,The weekday lunch special is the best golf deal within 50 miles.,14944728
55bcefff498ef9a0d77fcdf3,14944728,42.39780955,-71.26277012,Thai,1438445567,"Thai cuisine is excellent. I live in Westminster, MA; and it's worth the drive.",14944728
50bc8568e4b03e1865ceeb23,14944728,42.4843939337486,-71.0187119150154,Mexican,1354532200,"Awesome food all around, prices are excellent.",14944728
4eb86f7c4901cef9d9d00df9,14944728,42.4719800246035,-70.9255528755703,Pizza,1320710012,Best thin crust pizza on the North Shore.,14944728
5133fd75e4b02bbf59efc781,14944728,43.6597098427543,-72.7948359451117,Italian,1362361717,"Excellent food, excellent service.  If you are in the area, you will not be disappointed.",14944728
52801db911d22bbf148d4119,14944728,42.5637233393351,-72.0035478183366,Bowling Alley,1384127929,Leagues 6 nights a week. Great place to learn or just have fun.,14944728
4f6bc950e4b0f577d05e3810,10160890,32.8642671366034,-83.5705453483832,Liquor Store,1332463952,Bacardi oakheart is great mixed with coke,10160890
51917efa498ecf861cc3197f,10160890,32.8734014415385,-83.6662584543228,Japanese,1368489722,My new favorite!,10160890
